"city-state",city,state
"Aaronsburg, PA",Aaronsburg,PA
"Abbeville, LA",Abbeville,LA
"Abbeville, SC",Abbeville,SC
"Abbotsford, WI",Abbotsford,WI
"Abbottstown, PA",Abbottstown,PA
"Abells Corners, WI",Abells Corners,WI
"Aberdeen, IN",Aberdeen,IN
"Aberdeen, MD",Aberdeen,MD
"Aberdeen, MS",Aberdeen,MS
"Aberdeen, NC",Aberdeen,NC
"Aberdeen, OH",Aberdeen,OH
"Aberdeen, SD",Aberdeen,SD
"Aberdeen, WA",Aberdeen,WA
"Abernathy, TX",Abernathy,TX
"Abilene, KS",Abilene,KS
"Abilene, TX",Abilene,TX
"Abingdon, IL",Abingdon,IL
"Abingdon, MD",Abingdon,MD
"Abingdon, VA",Abingdon,VA
"Abington, MA",Abington,MA
"Abita Springs, LA",Abita Springs,LA
"Abram, TX",Abram,TX
"Absecon, NJ",Absecon,NJ
"Acacia Villas, FL",Acacia Villas,FL
"Accokeek, MD",Accokeek,MD
"Acme, MI",Acme,MI
"Acme, OH",Acme,OH
"Acres Green, CO",Acres Green,CO
"Acton, MA",Acton,MA
"Acushnet, MA",Acushnet,MA
"Acworth, GA",Acworth,GA
"Ada, OH",Ada,OH
"Ada, OK",Ada,OK
"Adair Village, OR",Adair Village,OR
"Adairsville, GA",Adairsville,GA
"Adams Center, NY",Adams Center,NY
"Adams Park, MI",Adams Park,MI
"Adams, MA",Adams,MA
"Adams, NY",Adams,NY
"Adamston, NJ",Adamston,NJ
"Adamstown, PA",Adamstown,PA
"Adamsville, AL",Adamsville,AL
"Adamsville, MI",Adamsville,MI
"Addis, LA",Addis,LA
"Addison, IL",Addison,IL
"Addison, TX",Addison,TX
"Addyston, OH",Addyston,OH
"Adel, GA",Adel,GA
"Adel, IA",Adel,IA
"Adelanto, CA",Adelanto,CA
"Adelino, NM",Adelino,NM
"Adelphi, MD",Adelphi,MD
"Adelphia, NJ",Adelphia,NJ
"Adrian, MI",Adrian,MI
"Affton, MO",Affton,MO
"Afton, TN",Afton,TN
"Agawam, MA",Agawam,MA
"Agnew, WA",Agnew,WA
"Agoura Hills, CA",Agoura Hills,CA
"Agua Dulce, TX",Agua Dulce,TX
"Agua Fria, NM",Agua Fria,NM
"Ahoskie, NC",Ahoskie,NC
"Ahtanum, WA",Ahtanum,WA
"Ahuimanu, HI",Ahuimanu,HI
"Aiea, HI",Aiea,HI
"Aiken, SC",Aiken,SC
"Ainaloa, HI",Ainaloa,HI
"Air Force Academy, CO",Air Force Academy,CO
"Airmont, NY",Airmont,NY
"Airport Drive, MO",Airport Drive,MO
"Airway Heights, WA",Airway Heights,WA
"Ajo, AZ",Ajo,AZ
"Akron, NY",Akron,NY
"Akron, OH",Akron,OH
"Akron, PA",Akron,PA
"Alabaster, AL",Alabaster,AL
"Alachua, FL",Alachua,FL
"Aladdin City, FL",Aladdin City,FL
"Alafaya, FL",Alafaya,FL
"Alamance, NC",Alamance,NC
"Alameda, CA",Alameda,CA
"Alamo Heights, TX",Alamo Heights,TX
"Alamo, CA",Alamo,CA
"Alamo, TN",Alamo,TN
"Alamo, TX",Alamo,TX
"Alamogordo, NM",Alamogordo,NM
"Alamosa East, CO",Alamosa East,CO
"Alamosa, CO",Alamosa,CO
"Alaska, MI",Alaska,MI
"Albany, CA",Albany,CA
"Albany, LA",Albany,LA
"Albany, MN",Albany,MN
"Albany, OR",Albany,OR
"Albemarle, NC",Albemarle,NC
"Albert Lea, MN",Albert Lea,MN
"Albertson, NY",Albertson,NY
"Albertville, AL",Albertville,AL
"Albertville, MN",Albertville,MN
"Albia, IA",Albia,IA
"Albion, MI",Albion,MI
"Albion, NY",Albion,NY
"Albion, PA",Albion,PA
"Albrightsville, PA",Albrightsville,PA
"Albuquerque, NM",Albuquerque,NM
"Alburtis, PA",Alburtis,PA
"Alcoa, TN",Alcoa,TN
"Alda, NE",Alda,NE
"Aldan, PA",Aldan,PA
"Alden, NY",Alden,NY
"Alder Grove, WA",Alder Grove,WA
"Alderson, WV",Alderson,WV
"Alderton, WA",Alderton,WA
"Alderwood Manor, WA",Alderwood Manor,WA
"Aldine, TX",Aldine,TX
"Aldora, GA",Aldora,GA
"Aledo, IL",Aledo,IL
"Aledo, TX",Aledo,TX
"Alexander City, AL",Alexander City,AL
"Alexander, AR",Alexander,AR
"Alexander, NY",Alexander,NY
"Alexandria, AL",Alexandria,AL
"Alexandria, IN",Alexandria,IN
"Alexandria, KY",Alexandria,KY
"Alexandria, LA",Alexandria,LA
"Alexandria, MN",Alexandria,MN
"Alexandria, VA",Alexandria,VA
"Alfred Station, NY",Alfred Station,NY
"Alfred, NY",Alfred,NY
"Algodones, NM",Algodones,NM
"Algoma, WI",Algoma,WI
"Algona, IA",Algona,IA
"Algona, WA",Algona,WA
"Algonac, MI",Algonac,MI
"Algonquin, IL",Algonquin,IL
"Algonquin, MD",Algonquin,MD
"Algood, TN",Algood,TN
"Alhambra Valley, CA",Alhambra Valley,CA
"Alhambra, CA",Alhambra,CA
"Alice Acres, TX",Alice Acres,TX
"Alice, TX",Alice,TX
"Aliquippa, PA",Aliquippa,PA
"Aliso Viejo, CA",Aliso Viejo,CA
"Allegan, MI",Allegan,MI
"Allegany, NY",Allegany,NY
"Alleghenyville, PA",Alleghenyville,PA
"Allen Park, MI",Allen Park,MI
"Allen, MD",Allen,MD
"Allen, TX",Allen,TX
"Allendale, CA",Allendale,CA
"Allendale, MI",Allendale,MI
"Allendale, NJ",Allendale,NJ
"Allendale, SC",Allendale,SC
"Allenhurst, GA",Allenhurst,GA
"Allenhurst, NJ",Allenhurst,NJ
"Allenport, PA",Allenport,PA
"Allenton, MI",Allenton,MI
"Allentown, NJ",Allentown,NJ
"Allentown, PA",Allentown,PA
"Allenwood, NJ",Allenwood,NJ
"Allenwood, PA",Allenwood,PA
"Allerton, NJ",Allerton,NJ
"Allgood, AL",Allgood,AL
"Alliance, NE",Alliance,NE
"Alliance, OH",Alliance,OH
"Allman, IN",Allman,IN
"Allouez, WI",Allouez,WI
"Alma, AR",Alma,AR
"Alma, GA",Alma,GA
"Alma, MI",Alma,MI
"Almedia, PA",Almedia,PA
"Almont, MI",Almont,MI
"Aloha, OR",Aloha,OR
"Alondra Park, CA",Alondra Park,CA
"Alorton, IL",Alorton,IL
"Alpena, MI",Alpena,MI
"Alpha, NJ",Alpha,NJ
"Alpharetta, GA",Alpharetta,GA
"Alpine, CA",Alpine,CA
"Alpine, MI",Alpine,MI
"Alpine, NJ",Alpine,NJ
"Alpine, TX",Alpine,TX
"Alpine, UT",Alpine,UT
"Alsace Manor, PA",Alsace Manor,PA
"Alsip, IL",Alsip,IL
"Alta Sierra, CA",Alta Sierra,CA
"Alta, IL",Alta,IL
"Altadena, CA",Altadena,CA
"Altamont, NY",Altamont,NY
"Altamont, OR",Altamont,OR
"Altamont, PA",Altamont,PA
"Altamonte Springs, FL",Altamonte Springs,FL
"Altavista, VA",Altavista,VA
"Alto, GA",Alto,GA
"Alton, IA",Alton,IA
"Alton, IL",Alton,IL
"Alton, TX",Alton,TX
"Altona, IN",Altona,IN
"Altoona, FL",Altoona,FL
"Altoona, IA",Altoona,IA
"Alturas, CA",Alturas,CA
"Altus, OK",Altus,OK
"Alum Rock, CA",Alum Rock,CA
"Alva, OK",Alva,OK
"Alvarado, TX",Alvarado,TX
"Alvin, TX",Alvin,TX
"Ama, LA",Ama,LA
"Amagansett, NY",Amagansett,NY
"Amarillo, TX",Amarillo,TX
"Amberley, OH",Amberley,OH
"Ambler, PA",Ambler,PA
"Amboy, IL",Amboy,IL
"Ambridge, PA",Ambridge,PA
"Amelia, LA",Amelia,LA
"Amelia, OH",Amelia,OH
"American Canyon, CA",American Canyon,CA
"American Falls, ID",American Falls,ID
"American Fork, UT",American Fork,UT
"Americus, GA",Americus,GA
"Amery, WI",Amery,WI
"Ames Lake, WA",Ames Lake,WA
"Ames, IA",Ames,IA
"Ames, TX",Ames,TX
"Amesbury, MA",Amesbury,MA
"Amesti, CA",Amesti,CA
"Amherst, MA",Amherst,MA
"Amherst, NH",Amherst,NH
"Amherst, NY",Amherst,NY
"Amherst, OH",Amherst,OH
"Amite City, LA",Amite City,LA
"Amity Gardens, PA",Amity Gardens,PA
"Amity, IN",Amity,IN
"Amityville, NY",Amityville,NY
"Ammon, ID",Ammon,ID
"Amory, MS",Amory,MS
"Amsterdam, NY",Amsterdam,NY
"Anaconda, MT",Anaconda,MT
"Anacortes, WA",Anacortes,WA
"Anadarko, OK",Anadarko,OK
"Anaheim, CA",Anaheim,CA
"Anahola, HI",Anahola,HI
"Anamosa, IA",Anamosa,IA
"Anchorage, AK",Anchorage,AK
"Anchorage, KY",Anchorage,KY
"Ancient Oaks, PA",Ancient Oaks,PA
"Andalusia, AL",Andalusia,AL
"Anderson Mill, TX",Anderson Mill,TX
"Anderson, CA",Anderson,CA
"Anderson, IN",Anderson,IN
"Anderson, SC",Anderson,SC
"Andersonville, MI",Andersonville,MI
"Andersonville, TN",Andersonville,TN
"Andora, MD",Andora,MD
"Andover, FL",Andover,FL
"Andover, KS",Andover,KS
"Andover, MA",Andover,MA
"Andover, MN",Andover,MN
"Andover, NJ",Andover,NJ
"Andrews Air Force Base, MD",Andrews Air Force Base,MD
"Andrews, SC",Andrews,SC
"Andrews, TX",Andrews,TX
"Angels Camp, CA",Angels Camp,CA
"Angier, NC",Angier,NC
"Angleton, TX",Angleton,TX
"Angola on the Lake, NY",Angola on the Lake,NY
"Angola, IN",Angola,IN
"Angola, NY",Angola,NY
"Ankeny, IA",Ankeny,IA
"Anmoore, WV",Anmoore,WV
"Ann Arbor, MI",Ann Arbor,MI
"Anna Maria, FL",Anna Maria,FL
"Anna, IL",Anna,IL
"Anna, TX",Anna,TX
"Annandale, MN",Annandale,MN
"Annandale, NJ",Annandale,NJ
"Annandale, VA",Annandale,VA
"Annapolis Neck, MD",Annapolis Neck,MD
"Annapolis, MD",Annapolis,MD
"Anniston, AL",Anniston,AL
"Annville, PA",Annville,PA
"Anoka, MN",Anoka,MN
"Anson, ME",Anson,ME
"Ansonia, CT",Ansonia,CT
"Antelope, CA",Antelope,CA
"Anthem, AZ",Anthem,AZ
"Anthony, FL",Anthony,FL
