city,state_code,total,total_user,total_p,virus,user_virus,virus_p,virus_rel_p,user_virus_p
Los Angeles,CA,1206157,68682,17.5614717102006,6228,3031,2.0547674034972,0.516350690664648,4.41309222212516
Manhattan,NY,736702,57428,12.8282719231037,5889,2851,2.06559102069449,0.799373423718138,4.96447725848018
Houston,TX,777864,38041,20.4480429010804,2824,1502,1.88015978695073,0.363045468102393,3.94837149391446
Chicago,IL,589559,33892,17.3952260120382,2561,1356,1.88864306784661,0.434392486587432,4.00094417561667
Washington,DC,360855,24269,14.868968643125,2926,1281,2.28415300546448,0.810852004267642,5.27833862128641
Brooklyn,NY,474777,23869,19.8909464158532,2478,1292,1.91795665634675,0.521929242570723,5.4128786291843
Atlanta,GA,332480,22027,15.0942025695737,1342,652,2.05828220858896,0.403633301251203,2.9600036319063
Dallastown,PA,307295,21140,14.5361873226112,1249,658,1.89817629179331,0.406449828340845,3.11258278145695
Queens,NY,285179,19212,14.8437955444514,1706,877,1.94526795895097,0.598220766606237,4.5648552987716
San Fernando,CA,264160,19202,13.756900322883,3268,1101,2.96821071752952,1.23712901271956,5.7337777314863
Austin,TX,278026,18401,15.1092875387207,1714,891,1.92368125701459,0.616489105335472,4.8421281452095
Philadelphia,PA,375934,17963,20.9282413850693,1422,744,1.91129032258065,0.378257885692701,4.1418471302121
San Antonio,TX,327837,17597,18.6302778882764,1623,845,1.9207100591716,0.495063095379716,4.8019548786725
San Diego Country Estates,CA,244282,17551,13.9184092074526,1439,728,1.97664835164835,0.589073284155198,4.14791179989744
Miami,OK,135844,16987,7.99693883558015,826,436,1.89449541284404,0.60805041076529,2.56666862895155
Phoenix,AZ,212625,15457,13.7559034741541,1239,594,2.08585858585859,0.582716049382716,3.84291906579543
Paradise,NV,115448,15128,7.63141195134849,449,302,1.48675496688742,0.388919686785393,1.99629825489159
Boston,MA,176751,14742,11.9896214896215,1191,608,1.95888157894737,0.673829285265713,4.12427079093746
Nashville,TN,188631,13568,13.9026385613208,764,387,1.97416020671835,0.405023564525449,2.85229952830189
