city,state_code,total,virus,virus_p
Holtsville,NY,7037,3684,0.524
Holtsville,NY,1545,672,0.435
Adjuntas,PR,751,708,0.943
Aguada,PR,3006,2737,0.911
Aguadilla,PR,3491,1351,0.387
Aguadilla,PR,8180,5566,0.680
Aguadilla,PR,7029,5386,0.766
Maricao,PR,6871,693,0.101
Anasco,PR,4980,4050,0.813
Angeles,PR,6681,3942,0.590
Arecibo,PR,154,13,0.084
Arecibo,PR,7600,7307,0.961
Arecibo,PR,8612,7910,0.918
Bajadero,PR,4659,433,0.093
Barceloneta,PR,2742,1004,0.366
Boqueron,PR,1403,1353,0.964
Cabo Rojo,PR,5861,4595,0.784
Penuelas,PR,7935,4889,0.616
Camuy,PR,134,24,0.179
Castaner,PR,5875,4111,0.700
Rosario,PR,6741,5038,0.747
Sabana Grande,PR,5759,2035,0.353
Ciales,PR,6720,665,0.099
Utuado,PR,2264,1357,0.599
Dorado,PR,8974,4944,0.551
Ensenada,PR,5717,3474,0.608
Florida,PR,7226,3805,0.527
Garrochales,PR,5489,2766,0.504
Guanica,PR,48,37,0.771
Guayanilla,PR,4893,1175,0.240
Hatillo,PR,5602,223,0.040
Hormigueros,PR,2791,681,0.244
Isabela,PR,1802,612,0.340
Jayuya,PR,1168,504,0.432
Lajas,PR,3646,1745,0.479
Lares,PR,5221,1852,0.355
Las Marias,PR,594,252,0.424
Manati,PR,21,13,0.619
Moca,PR,6379,1658,0.260
Rincon,PR,3745,2572,0.687
Quebradillas,PR,4381,3540,0.808
Mayaguez,PR,271,37,0.137
Mayaguez,PR,442,209,0.473
Mayaguez,PR,3013,2364,0.785
San German,PR,817,782,0.957
San Sebastian,PR,7422,5399,0.727
Morovis,PR,3168,549,0.173
Sabana Hoyos,PR,6721,603,0.090
San Antonio,PR,838,584,0.697
Vega Alta,PR,7591,4449,0.586
Vega Baja,PR,1807,1430,0.791
Vega Baja,PR,9260,5763,0.622
Yauco,PR,3574,1351,0.378
Aguas Buenas,PR,6404,3844,0.600
Aguirre,PR,7535,3381,0.449
Aibonito,PR,5057,4380,0.866
Maunabo,PR,5513,5059,0.918
Arroyo,PR,6103,5413,0.887
Mercedita,PR,3207,2759,0.860
Ponce,PR,5402,4515,0.836
Ponce,PR,1273,832,0.654
Naguabo,PR,3604,1638,0.454
Naranjito,PR,4999,132,0.026
Orocovis,PR,376,301,0.801
Palmer,PR,6274,345,0.055
Patillas,PR,5049,1572,0.311
Caguas,PR,5277,2171,0.411
Caguas,PR,8427,5859,0.695
Caguas,PR,9780,4789,0.490
Ponce,PR,8040,4765,0.593
Canovanas,PR,2175,263,0.121
Ponce,PR,8774,2849,0.325
Ponce,PR,3161,1122,0.355
Ponce,PR,6186,5047,0.816
Ponce,PR,5654,2578,0.456
Ponce,PR,5928,361,0.061
Ceiba,PR,1112,709,0.638
Cayey,PR,8900,2890,0.325
Cayey,PR,7124,3467,0.487
Fajardo,PR,9035,4590,0.508
Cidra,PR,1571,1072,0.682
Puerto Real,PR,5538,2287,0.413
Punta Santiago,PR,4910,880,0.179
Roosevelt Roads,PR,6626,3195,0.482
Rio Blanco,PR,4182,2475,0.592
Rio Grande,PR,883,606,0.686
Salinas,PR,5315,120,0.023
San Lorenzo,PR,6467,989,0.153
Santa Isabel,PR,8724,741,0.085
Vieques,PR,4499,4011,0.892
Villalba,PR,5084,46,0.009
Yabucoa,PR,5869,5277,0.899
Coamo,PR,8271,6947,0.840
Las Piedras,PR,4913,3819,0.777
Loiza,PR,4879,1319,0.270
Luquillo,PR,3971,2260,0.569
Culebra,PR,5155,1854,0.360
Juncos,PR,5704,67,0.012
Gurabo,PR,6107,4016,0.658
Coto Laurel,PR,1465,693,0.473
Comerio,PR,5871,4838,0.824
Corozal,PR,34,10,0.294
Guayama,PR,9708,7735,0.797
Guayama,PR,7191,2633,0.366
La Plata,PR,8850,1203,0.136
Humacao,PR,3821,1474,0.386
Humacao,PR,5915,2851,0.482
Barranquitas,PR,9726,7894,0.812
Juana Diaz,PR,7665,2216,0.289
San Juan,PR,4332,2496,0.576
San Juan,PR,5123,3951,0.771
San Juan,PR,816,682,0.836
San Juan,PR,2478,2257,0.911
San Juan,PR,76,28,0.368
San Juan,PR,2088,1130,0.541
San Juan,PR,2737,1561,0.570
San Juan,PR,9977,5640,0.565
San Juan,PR,1593,1390,0.873
San Juan,PR,1796,1177,0.655
San Juan,PR,2229,1334,0.598
San Juan,PR,8349,4708,0.564
San Juan,PR,753,150,0.199
San Juan,PR,317,61,0.192
San Juan,PR,128,57,0.445
San Juan,PR,8393,5429,0.647
San Juan,PR,8777,161,0.018
San Juan,PR,9892,2173,0.220
San Juan,PR,8690,2596,0.299
San Juan,PR,8998,2782,0.309
San Juan,PR,6591,4605,0.699
San Juan,PR,2419,437,0.181
San Juan,PR,7452,1914,0.257
San Juan,PR,5641,5568,0.987
San Juan,PR,1054,617,0.585
San Juan,PR,5333,4442,0.833
San Juan,PR,7139,2148,0.301
San Juan,PR,506,9,0.018
San Juan,PR,8289,861,0.104
Fort Buchanan,PR,5127,2994,0.584
San Juan,PR,2719,2159,0.794
San Juan,PR,6413,2114,0.330
San Juan,PR,3138,81,0.026
San Juan,PR,1611,1499,0.930
San Juan,PR,9256,603,0.065
Toa Baja,PR,5897,1642,0.278
Toa Baja,PR,7157,825,0.115
Toa Baja,PR,3397,1944,0.572
Sabana Seca,PR,9308,247,0.027
Toa Alta,PR,6075,2741,0.451
Toa Alta,PR,1905,1474,0.774
San Juan,PR,485,18,0.037
Bayamon,PR,7892,882,0.112
Bayamon,PR,1341,552,0.412
Bayamon,PR,7238,3402,0.470
Bayamon,PR,1943,1902,0.979
Bayamon,PR,156,155,0.994
Bayamon,PR,4976,481,0.097
Catano,PR,254,172,0.677
Catano,PR,7627,1472,0.193
Guaynabo,PR,2689,321,0.119
Guaynabo,PR,2838,913,0.322
Guaynabo,PR,1480,684,0.462
Guaynabo,PR,7721,5403,0.700
Guaynabo,PR,7052,6196,0.879
Guaynabo,PR,8108,1758,0.217
San Juan,PR,1536,112,0.073
Trujillo Alto,PR,771,340,0.441
Trujillo Alto,PR,982,395,0.402
Saint Just,PR,5162,5108,0.990
